筆數,縣市,鄉鎮市區,地段,小段,地號,使用分區,登記面積（m2）,使用面積（m2）,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
1,新北市,五股區,五股坑,壟鈎坑,5-6,都市計畫保護區,"5,946","5,946",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
2,新北市,五股區,五股坑,壟鈎坑,14,都市計畫保護區,495,495,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
3,新北市,五股區,五股坑,壟鈎坑,15,都市計畫保護區,868,868,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
4,新北市,五股區,五股坑,壟鈎坑,15-1,都市計畫保護區,199,199,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
5,新北市,五股區,五股坑,壟鈎坑,15-2,都市計畫保護區,247,247,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
6,新北市,五股區,五股坑,壟鈎坑,16,都市計畫保護區,"2,604","2,604",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
7,新北市,五股區,五股坑,壟鈎坑,16-1,都市計畫保護區,"1,424","1,424",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
8,新北市,五股區,五股坑,壟鈎坑,17,都市計畫保護區,616,616,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
9,新北市,五股區,五股坑,壟鈎坑,20,都市計畫保護區,"1,775","1,775",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
10,新北市,五股區,五股坑,壟鈎坑,20-1,都市計畫保護區,776,776,,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
11,新北市,五股區,五股坑,壟鈎坑,20-2,都市計畫保護區,"1,916","1,916",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
12,新北市,五股區,五股坑,壟鈎坑,20-3,都市計畫保護區,"4,149","4,149",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
13,新北市,五股區,五股坑,壟鈎坑,20-4,都市計畫保護區,"1,173","1,173",,http://gazette.nat.gov.tw/EG_FileManager/eguploadpub/eg018107/ch04/type3/gov31/num24/Eg.htm
